id,idSportinglife,date,hour,time,name,place,track,age,amountRunners,description,oddP1,oddP2,oddP3,oddP4,oddP5,oddP6,oddP7,oddP8,oddP9,oddP10,oddP11,oddP12,oddP13,oddP14,oddP15,oddP16,oddP17,oddP18,oddP19,oddP20,oddP21,oddP1Dec,oddP2Dec,oddP3Dec,oddP4Dec,oddP5Dec,oddP6Dec,oddP7Dec,oddP8Dec,oddP9Dec,oddP10Dec,oddP11Dec,oddP12Dec,oddP13Dec,oddP14Dec,oddP15Dec,oddP16Dec,oddP17Dec,oddP18Dec,oddP19Dec,oddP20Dec,oddP21Dec,premiumP1,premiumP2,premiumP3,premiumP4,premiumP5,premiumP6,premiumP7,premiumP8,rideToFinish1,rideToFinish2,rideToFinish3,rideToFinish4,rideToFinish5,rideToFinish6,rideToFinish7,rideToFinish8,rideToFinish9,rideToFinish10,rideToFinish11,rideToFinish12,rideToFinish13,rideToFinish14,rideToFinish15,rideToFinish16,rideToFinish17,rideToFinish18,rideToFinish19,rideToFinish20,rideToFinish21,createdAt,updatedAt
1,559547,2020-01-12,12:20,1578842400000,"EBF 'National Hunt' Novices' Hurdle",Kelso,TURF,"4YO to 6YO",5,"Kiltealy Briggs (1/4), Elf De Re (2/1), Folks Like Us (40/1), Pentelitubby (66/1), Lissen To The Lady (125/1), Schiehallion Ridge (125/1)",1.25,3,41,126,126,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/4,2/1,40/1,125/1,125/1,66/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4224.0 GBP","1240.0 GBP","620.0 GBP","310.0 GBP",NULL,NULL,NULL,NULL,2,1,3,6,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:27","2020-01-13 11:17:27"
2,559548,2020-01-12,12:50,1578844200000,"William Hill Leading Racecourse Bookmaker Handicap Chase",Kelso,TURF,"5YO plus",8,"Mr Mcgo (9/4), Aloomomo (7/2), Mah Mate Bob (7/2), Well Above Par (6/1), Tanarpino (10/1), Up Helly Aa King (14/1), Ash Park (14/1), Charlie Snow Angel (16/1), Knocknamona (18/1)",4.5,15,3.25,17,7,4.5,19,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/2,14/1,9/4,16/1,6/1,7/2,18/1,10/1,14/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"6628.0 GBP","1946.0 GBP","973.0 GBP","487.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP",6,7,2,8,3,5,9,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:27","2020-01-13 11:17:27"
3,559549,2020-01-12,13:25,1578846300000,"Live Streams On RacingTV Extra Novices' Hurdle",Kelso,TURF,"5YO plus",12,"Cheddleton (4/6), Jabbaar (13/8), Overcourt (12/1), Mamdood (12/1), Arnica (20/1), Slainte Mhor (40/1), Artic Mann (40/1), Kilfinan Bay (50/1), Elite Icon (100/1), St Basil (100/1), Picking Peaches (200/1), Raemoir (200/1), Weave Some Magic (200/1)",1.67,2.63,13,21,101,41,201,13,201,41,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/6,13/8,12/1,20/1,100/1,40/1,200/1,12/1,200/1,40/1,50/1,200/1,100/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4224.0 GBP","1240.0 GBP","620.0 GBP","310.0 GBP",NULL,NULL,NULL,NULL,1,2,8,3,5,10,13,7,9,4,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:28","2020-01-13 11:17:28"
4,559550,2020-01-12,13:55,1578848100000,"Book Now For May Ladies Day Handicap Hurdle",Kelso,TURF,"4YO plus",4,"Elvis Mail (11/8), Chti Balko (13/5), Kaizer (4/1), Dublin Four (9/2)",2.38,5.5,5,3.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/8,9/2,4/1,13/5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"12512.0 GBP","3696.0 GBP","1848.0 GBP","924.0 GBP","462.0 GBP","232.0 GBP",NULL,NULL,2,4,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:28","2020-01-13 11:17:28"
5,559551,2020-01-12,14:30,1578850200000,"Annual Members Get Best Value Handicap Chase",Kelso,TURF,"5YO plus",8,"Mymilan (6/4), Westend Theatre (11/4), Warendorf (7/2), Lowanbehold (7/1), Multipede (7/1), Kings Eclipse (10/1), Rising Marienbard (10/1), Classical Milano (18/1), Katalystic (25/1), Purcell's Bridge (25/1)",11,2.5,26,3.75,26,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/1,6/4,25/1,11/4,25/1,7/1,18/1,7/2,10/1,7/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4614.0 GBP","1355.0 GBP","677.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP",5,8,3,9,4,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:29","2020-01-13 11:17:29"
6,559552,2020-01-12,15:00,1578852000000,"RacingTV Profits Returned To Racing Handicap Chase",Kelso,TURF,"5YO plus",6,"Slanelough (2/1), Knockoura (11/4), Chapel Stile (3/1), Big River (7/2), Ami Desbois (13/2), Federici (13/2), Neverushacon (8/1), Justforjames (28/1)",4.5,7.5,9,3,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/2,13/2,8/1,2/1,11/4,3/1,13/2,28/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"7928.0 GBP","2328.0 GBP","1164.0 GBP","582.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP",3,1,2,6,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:30","2020-01-13 11:17:30"
7,559553,2020-01-12,15:35,1578854100000,"Join Racing TV Now Handicap Hurdle",Kelso,TURF,"4YO plus",8,"Starplex (15/8), Calliope (9/2), Bullion Boss (9/2), Flaming Glory (5/1), Let's Sway (13/2), Wild Sam (8/1), Garde Forestier (9/1), Gallahers Cross (9/1), Southeast Rose (12/1), Here In The Dark (20/1), Knockrea (25/1)",13,2.88,5.5,6,10,9,10,26,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/1,15/8,9/2,5/1,9/1,8/1,9/1,25/1,13/2,9/2,20/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3249.0 GBP","954.0 GBP","477.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP","450.0 GBP",7,4,8,9,6,3,5,10,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:30","2020-01-13 11:17:30"
8,559526,2020-01-12,12:40,1578843600000,"Ladbrokes Home Of The Odds Boost Handicap",Southwell,FIBRESAND,"3YO only",6,"Constitutional (2/1), Isobar Wind (7/2), Sea of Cool (4/1), Leg It Lenny (13/2), Casaruan (8/1), Interrupted Dream (11/1)",5,7.5,3,9,12,4.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/1,13/2,2/1,8/1,11/1,7/2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2782.0 GBP","828.0 GBP","414.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP",6,3,4,5,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:31","2020-01-13 11:17:31"
9,559527,2020-01-12,13:15,1578845700000,"Ladbrokes Where The Nation Plays Novice Stakes",Southwell,FIBRESAND,"3YO only",7,"Harrison Point (1/1), Snowball Jackson (3/1), Iron Heart (4/1), Almqvist (10/1), Captain Moorhouse (25/1), Whitehaven (66/1), Hoorayforthegrey (150/1)",2,4,5,26,67,151,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/1,3/1,4/1,25/1,66/1,150/1,10/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3429.0 GBP","1020.0 GBP","510.0 GBP","255.0 GBP",NULL,NULL,NULL,NULL,1,6,5,3,7,4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:31","2020-01-13 11:17:31"
10,559528,2020-01-12,13:45,1578847500000,"Bombardier Golden Beer Handicap",Southwell,FIBRESAND,"4YO plus",6,"Directory (7/4), Silverturnstogold (3/1), Jazz Hands (5/1), Sea Fox (11/2), Robero (9/1), Momtalik (12/1)",4,2.75,6,10,13,6.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/1,7/4,5/1,9/1,12/1,11/2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5208.0 GBP","1550.0 GBP","774.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP",4,1,6,3,5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:32","2020-01-13 11:17:32"
11,559529,2020-01-12,14:20,1578849600000,"Betway Handicap",Southwell,FIBRESAND,"4YO plus",5,"Blowing Dixie (11/8), Angel Lane (2/1), Rasaasy (9/2), Cosmelli (11/1), Argus (12/1)",2.38,3,12,13,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/8,2/1,11/1,12/1,9/2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"7876.0 GBP","2358.0 GBP","1179.0 GBP","590.0 GBP","294.0 GBP",NULL,NULL,NULL,5,4,1,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:32","2020-01-13 11:17:32"
12,559530,2020-01-12,14:50,1578851400000,"Bombardier British Hopped Amber Beer Handicap",Southwell,FIBRESAND,"4YO plus",7,"Motahassen (2/1), Oblate (9/4), Velvet Vision (11/2), Fox Shinji (11/2), Baron Run (10/1), French Twist (16/1), Limerick Lord (16/1), Tavener (50/1)",6.5,17,6.5,3.25,3,51,11,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/2,16/1,11/2,9/4,2/1,50/1,10/1,16/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2782.0 GBP","828.0 GBP","414.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP",3,4,5,1,2,8,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:32","2020-01-13 11:17:32"
13,559531,2020-01-12,15:25,1578853500000,"Betway Heed Your Hunch Handicap",Southwell,FIBRESAND,"4YO plus",7,"Global Hope (15/8), Al Suil Eile (3/1), The Right Choice (4/1), Global Melody (5/1), Requited (8/1), Our Charlie Brown (33/1), Jungle Secret (40/1)",4,5,6,34,41,2.88,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/1,4/1,5/1,33/1,40/1,15/8,8/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3429.0 GBP","1020.0 GBP","510.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP",3,4,5,6,7,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:33","2020-01-13 11:17:33"
14,559532,2020-01-12,15:55,1578855300000,"Bombardier 'March To Your Own Drum' Handicap",Southwell,FIBRESAND,"4YO plus",8,"N Over J (5/2), Midnight In Havana (3/1), Mister Freeze (7/2), Rockesbury (9/2), The Retriever (5/1), Fly True (15/2), Adashelby (12/1), Sea Shack (16/1), Fivehundredmiles (20/1), Leeshaan (33/1)",4.5,6,4,17,34,8.5,13,5.5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/2,5/1,3/1,16/1,33/1,15/2,12/1,9/2,5/2,20/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2782.0 GBP","828.0 GBP","414.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP","400.0 GBP",6,10,4,7,8,1,5,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:33","2020-01-13 11:17:33"
15,559686,2020-01-12,12:30,1578843000000,"Sporting Life Beginners Chase",Punchestown,TURF,"5YO plus",8,"Cherokee Bill (11/4), Iknowwhereiamnow (11/4), Chosen Hour (11/2), I'mstillyourbaby (6/1), Moyode Lady (6/1), Lough Gur (12/1), Clonguile Way (20/1), Major Fawcett (33/1)",6.5,3.75,7,21,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/2,11/4,6/1,20/1,33/1,11/4,12/1,6/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8700.0 EUR","2900.0 EUR","1450.0 EUR","725.0 EUR","435.0 EUR","290.0 EUR",NULL,NULL,2,1,4,3,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:34","2020-01-13 11:17:34"
16,559687,2020-01-12,13:05,1578845100000,"Killiney Novice Chase (Grade 3)",Punchestown,TURF,"5YO plus",6,"Carefully Selected (4/7), City Island (4/1), Speak Easy (6/1), Dallas Des Pictons (14/1), Lord Schnitzel (16/1), Halsafari (66/1)",1.57,5,15,17,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/7,4/1,14/1,16/1,6/1,66/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"25500.0 EUR","8500.0 EUR","4250.0 EUR","2125.0 EUR","1275.0 EUR","850.0 EUR",NULL,NULL,1,2,3,5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:34","2020-01-13 11:17:34"
17,559688,2020-01-12,13:35,1578846900000,"Adare Manor Opportunity Handicap Chase (0-116)",Punchestown,TURF,"5YO plus",9,"Roxboro Road (13/8), Chavi Artist (11/2), Flynsini (6/1), Well Joey (7/1), Persian Wind (9/1), Lacken Bridge (10/1), My Manekineko (12/1), Ard Na Carraig (16/1), Archer's Up (18/1)",6.5,8,10,2.63,13,7,17,11,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/2,7/1,9/1,13/8,12/1,6/1,16/1,10/1,18/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8400.0 EUR","2801.0 EUR","1400.0 EUR","700.0 EUR","420.0 EUR","280.0 EUR",NULL,NULL,1,6,7,5,4,9,2,8,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:35","2020-01-13 11:17:35"
18,559690,2020-01-12,14:10,1578849000000,"Total Event Rental Amateur National (Q.R.) Handicap Chase",Punchestown,TURF,"5YO plus",6,"Cheb De Kerviniou (11/8), Rocky's Silver (7/2), Cappacurry Zak (9/2), Biddy The Boss (5/1), Final List (6/1), Se Mo Laoch (15/2), Ah Littleluck (12/1)",4.5,7,2.38,8.5,13,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/2,6/1,11/8,15/2,12/1,9/2,5/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11100.0 EUR","3700.0 EUR","1850.0 EUR","925.0 EUR","555.0 EUR","370.0 EUR",NULL,NULL,4,7,3,5,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:35","2020-01-13 11:17:35"
19,559692,2020-01-12,14:40,1578850800000,"Sky Bet Moscow Flyer Novice Hurdle (Grade 2)",Punchestown,TURF,"5YO plus",6,"Andy Dufresne (8/15), Captain Guinness (10/3), Anything Will Do (11/2), Meticulous (25/1), The Little Yank (40/1), Shanroe (100/1)",1.53,4.33,6.5,26,41,101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8/15,10/3,11/2,25/1,40/1,100/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"26700.0 EUR","8900.0 EUR","4450.0 EUR","2224.0 EUR","1335.0 EUR","890.0 EUR",NULL,NULL,2,5,1,3,6,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:36","2020-01-13 11:17:36"
20,559693,2020-01-12,15:15,1578852900000,"Irish Jockeys Association Critical Illness Cover With Irish Life Mares Handicap Hurdle",Punchestown,TURF,"4YO plus",12,"Fag An Bealach (3/1), Minx Tiara (5/1), Whatucallher (13/2), Rebel Early (7/1), Sassy Yet Classy (8/1), My Club Colours (9/1), Liffeydale Dreamer (12/1), Vinabell (16/1), Peterstown (16/1), Lill Smith (16/1), Colour Me In (20/1), Laureate (22/1)",10,6,7.5,21,8,9,4,17,17,23,13,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/1,5/1,13/2,20/1,7/1,8/1,3/1,16/1,16/1,22/1,12/1,16/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"7500.0 EUR","2500.0 EUR","1250.0 EUR","625.0 EUR","375.0 EUR","250.0 EUR",NULL,NULL,12,5,2,9,6,1,3,11,8,10,7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:36","2020-01-13 11:17:36"
21,559694,2020-01-12,15:45,1578854700000,"Racing TV Club Day Today Maiden Hurdle",Punchestown,TURF,"5YO plus",22,"Blackbow (1/3), Port Stanley (4/1), Santa Rossa (11/2), Le Musigny (12/1), Nero Rock (16/1), Powerful Ted (25/1), Wavelength (28/1), The Broghie Man (33/1), Arakan Quest (33/1), Bobby Boy (40/1), Hardy Man (50/1), Loudest Whisper (50/1), Coolnacritta (50/1), Alabaster (66/1), Ballyadam Destiny (66/1), Midnight Wilde (66/1), Roses Queen (66/1), Cleared To Go (66/1), Stowaway To Heaven (66/1), Sole Trader (66/1), Funky Dady (100/1), Rebel Gold (100/1), Get Crackin (100/1), Liam Eile (100/1), Seskin Bonnie (100/1)",13,34,5,1.33,34,101,67,51,67,29,17,101,67,26,67,41,67,101,101,67,67,12/1,33/1,4/1,1/3,33/1,100/1,66/1,50/1,66/1,28/1,16/1,100/1,66/1,25/1,66/1,40/1,66/1,100/1,100/1,66/1,66/1,"8100.0 EUR","2700.0 EUR","1350.0 EUR","675.0 EUR","405.0 EUR","270.0 EUR",NULL,NULL,6,17,8,4,2,12,1,5,3,18,14,9,13,15,20,10,11,23,7,22,16,"2020-01-13 11:17:37","2020-01-13 11:17:37"
22,560185,2020-01-12,15:07,1578852420000,"Prix De Vence - Attele",Cagnes-sur-Mer,TURF,"6YO to 8YO",12,"Daro Desbois (15/8), Derby Destin (7/2), Candido Ges (11/2), Cazar Des Erablais (6/1), Cinna De Briouze (17/2), Climax De Bapre (10/1), Dottarus (11/1), Crock Du Vautour (22/1), Choix Des Armes (22/1), Elite Du Lys (28/1), Cyrano D'Idole (40/1), Cote Ouest (50/1)",6.5,2.88,23,7,11,29,51,12,23,41,9.5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/2,15/8,22/1,6/1,10/1,28/1,50/1,11/1,22/1,40/1,17/2,7/2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13859.0 EUR","4400.0 EUR","2200.0 EUR","1540.0 EUR",NULL,NULL,NULL,NULL,7,9,10,6,8,2,12,11,1,3,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:37","2020-01-13 11:17:37"
23,560186,2020-01-12,15:42,1578854520000,"Prix Des Pruniers",Cagnes-sur-Mer,TURF,"5YO only",8,"Falco Fun (9/4), Fragon D'avignere (4/1), Fast Pass (4/1), Feministu Mag (11/2), Feeling Meslois (13/2), Flash Du Goutier (7/1), Fanon Des Forges (12/1), Fantomas Turgot (20/1)",5,7.5,13,8,3.25,6.5,21,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/1,13/2,12/1,7/1,9/4,11/2,20/1,4/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13859.0 EUR","4400.0 EUR","2200.0 EUR","1540.0 EUR",NULL,NULL,NULL,NULL,7,4,5,2,6,1,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:38","2020-01-13 11:17:38"
24,560187,2020-01-12,16:17,1578856620000,"Prix Roger Ceran-maillard - Attele",Cagnes-sur-Mer,TURF,"7YO to 10YO",16,"Djembe Du Pont (6/4), Daystar (5/2), Barbe A Papa (9/2), Deal On Line (9/1), Bicetre (11/1), Atman De Ba (16/1), Carla De Rouaisse (18/1), Baladin Du Reynard (28/1), Call Of Carless (28/1), Desperado Jiel (40/1), Carmin (50/1), Boyardo (50/1), Bambi De Kernas (50/1), Darling Des Vignes (50/1), Chamara De Guez (80/1), Anaiko Keroda (80/1)",5.5,2.5,12,3.5,51,29,81,29,81,41,51,51,17,0,0,0,NULL,NULL,NULL,NULL,NULL,9/2,6/4,11/1,5/2,50/1,28/1,80/1,28/1,80/1,40/1,50/1,50/1,16/1,9/1,18/1,50/1,NULL,NULL,NULL,NULL,NULL,"3780.0 EUR","1200.0 EUR","601.0 EUR","420.0 EUR",NULL,NULL,NULL,NULL,3,5,10,7,13,16,15,12,9,1,2,6,14,0,0,0,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:38","2020-01-13 11:17:38"
25,560188,2020-01-12,16:52,1578858720000,"Prix De San Siro - Attele",Cagnes-sur-Mer,TURF,"5YO only",11,"Fabiola D'heripre (3/1), Flo De Max (7/2), Fantasia De Ligny (4/1), Filante De Reux (9/2), Fresh News (15/2), Frivole Des Bordes (8/1), Fashion D'heripre (9/1), Fille De Prince (25/1), Fantasia Jet (25/1), Fashion Star (33/1), Falemprise (66/1)",34,10,5.5,9,4.5,4,26,8.5,26,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33/1,9/1,9/2,8/1,7/2,3/1,25/1,15/2,25/1,4/1,66/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13859.0 EUR","4400.0 EUR","2200.0 EUR","1540.0 EUR",NULL,NULL,NULL,NULL,10,9,8,3,5,6,1,7,11,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:39","2020-01-13 11:17:39"
26,560189,2020-01-12,17:25,1578860700000,"Prix Des Ormes - Attele",Cagnes-sur-Mer,TURF,"4YO only",14,"Gamin Montaval (11/4), Get My Love (4/1), Gunnar La Mesange (5/1), Gaby Star (9/1), Gaotcho Jiel (9/1), Guignol (9/1), Gagnant Gema (10/1), Goal Maker (12/1), Gregor (12/1), Glorioso Bello (14/1), Gagnant De Brikvil (28/1), Golden Highway (40/1), Guibson Du Solnan (50/1), Game Player (50/1)",6,5,15,10,51,10,11,13,29,51,10,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/1,4/1,14/1,9/1,50/1,9/1,10/1,12/1,28/1,50/1,9/1,40/1,12/1,11/4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11970.0 EUR","3800.0 EUR","1900.0 EUR","1330.0 EUR",NULL,NULL,NULL,NULL,12,11,14,5,3,7,1,10,4,2,8,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:39","2020-01-13 11:17:39"
27,560190,2020-01-12,17:55,1578862500000,"Prix La Maura - Attele",Cagnes-sur-Mer,TURF,"6YO only",11,"Eole De L'Iton (9/4), Eden Petteviniere (7/2), Eclair Star (9/2), Echec Et Mat (5/1), Estero (13/2), Everton De Vandel (9/1), Etincelle De Feu (10/1), Elision Jenilou (22/1), Elixir D'Ourville (33/1), Epice Ligerienne (40/1), Elitesnabe (66/1)",10,3.25,7.5,6,41,11,34,23,67,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/1,9/4,13/2,5/1,40/1,10/1,33/1,22/1,66/1,9/2,7/2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13859.0 EUR","4400.0 EUR","2200.0 EUR","1540.0 EUR",NULL,NULL,NULL,NULL,2,7,4,5,10,1,8,9,11,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:17:39","2020-01-13 11:17:39"
