id,idSportinglife,date,hour,time,name,place,track,age,amountRunners,description,oddP1,oddP2,oddP3,oddP4,oddP5,oddP6,oddP7,oddP8,oddP9,oddP10,oddP11,oddP12,oddP13,oddP14,oddP15,oddP16,oddP17,oddP18,oddP19,oddP20,oddP21,oddP1Dec,oddP2Dec,oddP3Dec,oddP4Dec,oddP5Dec,oddP6Dec,oddP7Dec,oddP8Dec,oddP9Dec,oddP10Dec,oddP11Dec,oddP12Dec,oddP13Dec,oddP14Dec,oddP15Dec,oddP16Dec,oddP17Dec,oddP18Dec,oddP19Dec,oddP20Dec,oddP21Dec,premiumP1,premiumP2,premiumP3,premiumP4,premiumP5,premiumP6,premiumP7,premiumP8,rideToFinish1,rideToFinish2,rideToFinish3,rideToFinish4,rideToFinish5,rideToFinish6,rideToFinish7,rideToFinish8,rideToFinish9,rideToFinish10,rideToFinish11,rideToFinish12,rideToFinish13,rideToFinish14,rideToFinish15,rideToFinish16,rideToFinish17,rideToFinish18,rideToFinish19,rideToFinish20,rideToFinish21,createdAt,updatedAt
939,559117,2020-01-04,13:17,1578154620000,"De La Seulles Handicap",Deauville,FIBRESAND,"4YO only",13,"Glenorchy (7/2), Kokocha (9/2), Mister Charlie (5/1), Luce Des Aigles (6/1), Waldlicht (7/1), History Chop (8/1), Power Life (9/1), Mirage Vert (10/1), Gangster Of Love (12/1), Runway (12/1), Come Say Hi (14/1), Prince Kerali (14/1), Zaahir (20/1), On The Edge (20/1), Palmina (25/1)",15,6,9,4.5,5.5,13,13,21,7,15,11,21,26,0,0,NULL,NULL,NULL,NULL,NULL,NULL,14/1,5/1,8/1,7/2,9/2,12/1,12/1,20/1,6/1,14/1,10/1,20/1,25/1,9/1,7/1,NULL,NULL,NULL,NULL,NULL,NULL,"12600.0 EUR","4000.0 EUR","2000.0 EUR","1400.0 EUR",NULL,NULL,NULL,NULL,6,2,11,3,7,12,9,1,4,5,13,15,8,0,0,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:24:38","2020-01-13 11:24:38"
940,559118,2020-01-04,13:52,1578156720000,"Des Granges Handicap",Deauville,FIBRESAND,"5YO plus",15,"Poulfos (4/1), Jeitoso Bayer (9/2), Jack's Son (11/2), Speedywell (13/2), Tremont (17/2), Olirodigan (9/1), Silent Fortune (10/1), Rise Hit (14/1), Zabawa (14/1), Highest Rockeur (16/1), Beleave You (20/1), Al Rassoul (22/1), Swansea Beach (25/1), Any Guest (25/1), Carry Out (28/1), Modigliano (40/1)",5.5,7.5,5,17,6.5,15,9.5,21,26,23,29,11,15,10,41,0,NULL,NULL,NULL,NULL,NULL,9/2,13/2,4/1,16/1,11/2,14/1,17/2,20/1,25/1,22/1,28/1,10/1,14/1,9/1,40/1,25/1,NULL,NULL,NULL,NULL,NULL,"10080.0 EUR","3200.0 EUR","1600.0 EUR","1120.0 EUR",NULL,NULL,NULL,NULL,4,1,11,7,9,13,3,6,12,10,15,14,5,16,8,0,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:24:38","2020-01-13 11:24:38"
941,559119,2020-01-04,14:32,1578159120000,"Des Cottages Handicap",Deauville,FIBRESAND,"5YO plus",16,"Samasthiti (5/1), Forbidden City (11/2), Pikes Peak (13/2), Great Dream (8/1), Tenue De Soiree (9/1), Dalstar (9/1), Ayguemorte (9/1), Giloulou (10/1), Diamantfee (10/1), Kenfay (10/1), Royal Vati (12/1), Oncle Fernand (14/1), Linda's Cap (16/1), Thindy (22/1), Zawadi (25/1), Copper Baked (66/1)",13,11,6.5,23,15,17,11,9,10,6,10,11,26,67,7.5,10,NULL,NULL,NULL,NULL,NULL,12/1,10/1,11/2,22/1,14/1,16/1,10/1,8/1,9/1,5/1,9/1,10/1,25/1,66/1,13/2,9/1,NULL,NULL,NULL,NULL,NULL,"12600.0 EUR","4000.0 EUR","2000.0 EUR","1400.0 EUR",NULL,NULL,NULL,NULL,8,16,3,11,9,13,15,2,1,6,14,7,10,4,12,5,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:24:39","2020-01-13 11:24:39"
942,559120,2020-01-04,15:07,1578161220000,"Gentilhommieres Handicap",Deauville,FIBRESAND,"5YO plus",15,"Flag Fen (9/2), Silver Cape (5/1), Furious Des Aigles (11/2), Skalleto (7/1), Morcote (15/2), Out Of Town (9/1), Cloud Dancer (11/1), Ultra Cool (12/1), Engelburg (14/1), Heads Together (16/1), Merci Capucine (16/1), Vicopisano (16/1), Sri Prada (16/1), Paris Paris (18/1), D'Or Et Diamant (25/1), Marobob (33/1)",8.5,6.5,15,10,34,8,5.5,17,13,6,17,26,17,19,0,0,NULL,NULL,NULL,NULL,NULL,15/2,11/2,14/1,9/1,33/1,7/1,9/2,16/1,12/1,5/1,16/1,25/1,16/1,18/1,16/1,11/1,NULL,NULL,NULL,NULL,NULL,"15120.0 EUR","4800.0 EUR","2400.0 EUR","1681.0 EUR",NULL,NULL,NULL,NULL,9,8,14,5,13,1,16,15,4,7,6,2,3,11,0,0,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:24:39","2020-01-13 11:24:39"
943,559099,2020-01-04,15:42,1578163320000,"Du Cap Canaille Handicap",Marseille,FIBRESAND,"4YO plus",12,"Ribot Dream (6/4), Jessy Love (6/1), Hopalong Cassidy (7/1), Seed Of Love (15/2), Chante Blu (8/1), Via Cappella (8/1), Spotted Cat (9/1), Shot In The Dark (9/1), Gottingen (10/1), Zantario (14/1), Bissin (20/1), Lucky Lawyer (25/1), Rozanne (25/1), Frizzanto (40/1)",8,2.5,9,26,21,7,15,26,8.5,9,41,10,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/1,6/4,8/1,25/1,20/1,6/1,14/1,25/1,15/2,8/1,40/1,9/1,9/1,10/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10080.0 EUR","3200.0 EUR","1600.0 EUR","1120.0 EUR",NULL,NULL,NULL,NULL,5,9,3,8,13,6,4,14,7,1,10,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:24:39","2020-01-13 11:24:39"
944,559100,2020-01-04,16:17,1578165420000,"De Cassis Handicap",Marseille,FIBRESAND,"4YO plus",9,"We Ride The World (9/4), La Fibre (3/1), Launceston Place (4/1), Kenartic (11/2), Woodmax (7/1), Poldina (10/1), Ricochet (14/1), City Gent (22/1), Largent Du Bonheur (28/1)",3.25,4,6.5,5,8,23,29,15,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/4,3/1,11/2,4/1,7/1,22/1,28/1,14/1,10/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11340.0 EUR","3600.0 EUR","1800.0 EUR","1260.0 EUR",NULL,NULL,NULL,NULL,5,3,4,6,1,7,2,8,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:24:40","2020-01-13 11:24:40"
945,559101,2020-01-04,16:52,1578167520000,"L.et M.cremieux Maiden Stakes",Marseille,FIBRESAND,"3YO only",9,"Mister Jingle (1/2), Ana Clamation (4/1), Night Of The Opera (15/2), Abundancia (10/1), Sundaychats (14/1), Adehaine (14/1), Amicalina (33/1), Delhi Chope (33/1), Reine Vera (40/1)",1.5,5,11,8.5,15,15,41,34,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/2,4/1,10/1,15/2,14/1,14/1,40/1,33/1,33/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10080.0 EUR","3200.0 EUR","1600.0 EUR","1120.0 EUR",NULL,NULL,NULL,NULL,2,5,6,1,9,3,8,7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:24:40","2020-01-13 11:24:40"
946,559102,2020-01-04,17:27,1578169620000,"Perces-neige Claiming Stakes",Marseille,FIBRESAND,"3YO only",9,"Danzig Issue (9/4), Jangkhe (7/2), Marselha Prince (4/1), Hunter Valley (11/2), Dalkelef (11/2), Tea Time Desert (8/1), Mehanydream (10/1), Chaleocca (16/1), Cashel Lady (28/1), Evasive Maintenant (33/1)",5,6.5,4.5,6.5,29,9,17,34,3.25,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/1,11/2,7/2,11/2,28/1,8/1,16/1,33/1,9/4,10/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8820.0 EUR","2801.0 EUR","1400.0 EUR","980.0 EUR",NULL,NULL,NULL,NULL,2,4,3,6,7,9,8,10,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:24:41","2020-01-13 11:24:41"
947,559103,2020-01-04,18:00,1578171600000,"De La Ciotat Handicap",Marseille,FIBRESAND,"4YO plus",13,"Jackson En Bois (5/2), Peaky Blynder (11/4), Sang Espagnola (11/2), Dark Road (13/2), Le Ring (8/1), Major'salsa (9/1), Ultim'reve (16/1), Hamper (16/1), Joe The Tinker (20/1), Black Princess (25/1), Touch Of Real (25/1), Asterion (66/1), Fille Dargent (80/1)",3.5,9,26,17,3.75,21,10,6.5,7.5,26,67,81,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/2,8/1,25/1,16/1,11/4,20/1,9/1,11/2,13/2,25/1,66/1,80/1,16/1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8820.0 EUR","2801.0 EUR","1400.0 EUR","980.0 EUR",NULL,NULL,NULL,NULL,2,7,12,3,5,10,11,1,4,6,8,13,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:24:41","2020-01-13 11:24:41"
948,559104,2020-01-04,18:30,1578173400000,"Primeveres Claiming Handicap",Marseille,FIBRESAND,"4YO plus",6,"Mystical Prince (11/8), Andorre (5/2), Fire Of Beauty (11/2), Sax (13/2), Zalia First (7/1), Hazienda (14/1)",7.5,3.5,15,8,2.38,6.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13/2,5/2,14/1,7/1,11/8,11/2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"7560.0 EUR","2400.0 EUR","1200.0 EUR","840.0 EUR",NULL,NULL,NULL,NULL,3,1,2,6,5,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2020-01-13 11:24:42","2020-01-13 11:24:42"
